10000,0
20000,0
30000,0
40000,0
50000,1
60000,0
70000,1
80000,1
90000,1
100000,1
110000,2
120000,1
130000,2
140000,2
150000,2
160000,3
170000,4
180000,3
190000,3
200000,4
210000,5
220000,5
230000,6
240000,6
250000,7
260000,7
270000,8
280000,8
290000,9
300000,9
310000,10
320000,11
330000,11
340000,12
350000,13
360000,14
370000,14
380000,16
390000,16
400000,17
410000,18
420000,19
430000,20
440000,20
450000,21
460000,23
470000,24
480000,24
490000,25
500000,26
510000,27
520000,29
530000,30
540000,31
550000,32
560000,33
570000,34
580000,36
590000,36
600000,38
610000,39
620000,39
630000,41
640000,43
650000,46
660000,46
670000,48
680000,49
690000,52
700000,52
710000,53
720000,54
730000,57
740000,57
750000,59
760000,60
770000,62
780000,63
790000,65
800000,67
810000,67
820000,72
830000,71
840000,74
850000,74
860000,67
870000,80
880000,80
890000,93
900000,83
910000,91
920000,82
930000,96
940000,95
950000,88
960000,101
970000,85
980000,109
990000,106
1000000,93
