10000,0
20000,0
30000,0
40000,14
50000,1
60000,1
70000,1
80000,1
90000,2
100000,2
110000,2
120000,3
130000,3
140000,4
150000,4
160000,5
170000,6
180000,9
190000,7
200000,13
210000,9
220000,15
230000,10
240000,16
250000,14
260000,14
270000,18
280000,18
290000,21
300000,17
310000,22
320000,35
330000,38
340000,26
350000,38
360000,29
370000,31
380000,42
390000,32
400000,34
410000,38
420000,37
430000,41
440000,87
450000,48
460000,63
470000,60
480000,75
490000,68
500000,72
510000,71
520000,91
530000,78
540000,74
550000,69
560000,63
570000,64
580000,68
590000,70
600000,74
610000,74
620000,74
630000,78
640000,79
650000,82
660000,84
670000,86
680000,89
690000,91
700000,90
710000,100
720000,100
730000,100
740000,103
750000,96
760000,117
770000,115
780000,127
790000,115
800000,106
810000,135
820000,115
830000,133
840000,133
850000,133
860000,144
870000,138
880000,132
890000,149
900000,150
910000,150
920000,148
930000,165
940000,163
950000,153
960000,174
970000,157
980000,185
990000,168
1000000,179
